_time,_value,_field,srsue_data_id
2025-01-29T20:28:46.913713367Z,21.02,sinr,ue1_uhd
2025-01-29T20:28:47.394199367Z,20.89,sinr,ue1_uhd
2025-01-29T20:28:47.874406367Z,20.99,sinr,ue1_uhd
2025-01-29T20:28:48.354823367Z,21.08,sinr,ue1_uhd
2025-01-29T20:28:48.835220367Z,21.31,sinr,ue1_uhd
2025-01-29T20:28:49.315134367Z,21.27,sinr,ue1_uhd
2025-01-29T20:28:49.795708367Z,21.34,sinr,ue1_uhd
2025-01-29T20:28:50.276420367Z,21.25,sinr,ue1_uhd
2025-01-29T20:28:50.756817367Z,21.27,sinr,ue1_uhd
2025-01-29T20:28:51.237465367Z,21.06,sinr,ue1_uhd
2025-01-29T20:28:51.718027367Z,21.15,sinr,ue1_uhd
2025-01-29T20:28:52.198768367Z,21.2,sinr,ue1_uhd
2025-01-29T20:28:52.679644367Z,21.12,sinr,ue1_uhd
2025-01-29T20:28:53.159974367Z,21.09,sinr,ue1_uhd
2025-01-29T20:28:53.640041367Z,20.99,sinr,ue1_uhd
2025-01-29T20:28:54.120656367Z,21.26,sinr,ue1_uhd
2025-01-29T20:28:54.601419367Z,21.14,sinr,ue1_uhd
2025-01-29T20:28:55.081555367Z,21.17,sinr,ue1_uhd
2025-01-29T20:28:55.562234367Z,21.28,sinr,ue1_uhd
2025-01-29T20:28:56.042997367Z,21.21,sinr,ue1_uhd
2025-01-29T20:28:56.523784367Z,21.22,sinr,ue1_uhd
2025-01-29T20:28:57.004261367Z,21.07,sinr,ue1_uhd
2025-01-29T20:28:57.484726367Z,20.74,sinr,ue1_uhd
2025-01-29T20:28:57.965108367Z,20.54,sinr,ue1_uhd
2025-01-29T20:28:58.445942367Z,20.58,sinr,ue1_uhd
2025-01-29T20:28:58.926436367Z,20.31,sinr,ue1_uhd
2025-01-29T20:28:59.406634367Z,20.52,sinr,ue1_uhd
2025-01-29T20:28:59.887424367Z,20.76,sinr,ue1_uhd
2025-01-29T20:29:00.366064367Z,20.69,sinr,ue1_uhd
2025-01-29T20:29:00.845906367Z,20.41,sinr,ue1_uhd
2025-01-29T20:29:01.325942367Z,20.82,sinr,ue1_uhd
2025-01-29T20:29:01.805957367Z,20.65,sinr,ue1_uhd
2025-01-29T20:29:02.286130367Z,20.7,sinr,ue1_uhd
2025-01-29T20:29:02.766144367Z,20.52,sinr,ue1_uhd
2025-01-29T20:29:03.245392367Z,20.41,sinr,ue1_uhd
2025-01-29T20:29:03.725549367Z,20.56,sinr,ue1_uhd
2025-01-29T20:29:04.206082367Z,20.39,sinr,ue1_uhd
2025-01-29T20:29:04.693940367Z,20.35,sinr,ue1_uhd
2025-01-29T20:29:05.174578367Z,20.43,sinr,ue1_uhd
2025-01-29T20:29:05.654309367Z,20.39,sinr,ue1_uhd
2025-01-29T20:29:06.134453367Z,20.32,sinr,ue1_uhd
2025-01-29T20:29:06.614800367Z,20.26,sinr,ue1_uhd
2025-01-29T20:29:07.094903367Z,20.36,sinr,ue1_uhd
2025-01-29T20:29:07.575133367Z,20.28,sinr,ue1_uhd
2025-01-29T20:29:08.055440367Z,20.45,sinr,ue1_uhd
2025-01-29T20:29:08.535649367Z,20.31,sinr,ue1_uhd
2025-01-29T20:29:09.015574367Z,20.23,sinr,ue1_uhd
2025-01-29T20:29:09.492753367Z,20.27,sinr,ue1_uhd
2025-01-29T20:29:09.972760367Z,20.37,sinr,ue1_uhd
2025-01-29T20:29:10.452440367Z,20.46,sinr,ue1_uhd
2025-01-29T20:29:10.932743367Z,20.54,sinr,ue1_uhd
2025-01-29T20:29:11.412436367Z,20.44,sinr,ue1_uhd
2025-01-29T20:29:11.893055367Z,20.58,sinr,ue1_uhd
2025-01-29T20:29:12.373823367Z,20.88,sinr,ue1_uhd
2025-01-29T20:29:12.854613367Z,20.83,sinr,ue1_uhd
2025-01-29T20:29:13.334544367Z,20.84,sinr,ue1_uhd
2025-01-29T20:29:13.815176367Z,20.8,sinr,ue1_uhd
2025-01-29T20:29:14.295148367Z,20.85,sinr,ue1_uhd
2025-01-29T20:29:14.774915367Z,20.87,sinr,ue1_uhd
2025-01-29T20:29:15.255646367Z,20.91,sinr,ue1_uhd
2025-01-29T20:29:15.735849367Z,20.78,sinr,ue1_uhd
2025-01-29T20:29:16.216378367Z,20.7,sinr,ue1_uhd
2025-01-29T20:29:16.695943367Z,20.81,sinr,ue1_uhd
2025-01-29T20:29:17.176215367Z,20.82,sinr,ue1_uhd
2025-01-29T20:29:17.656303367Z,20.76,sinr,ue1_uhd
2025-01-29T20:29:18.136910367Z,20.7,sinr,ue1_uhd
2025-01-29T20:29:18.617302367Z,20.73,sinr,ue1_uhd
2025-01-29T20:29:19.097835367Z,20.76,sinr,ue1_uhd
2025-01-29T20:29:19.578219367Z,20.63,sinr,ue1_uhd
2025-01-29T20:29:20.058635367Z,20.68,sinr,ue1_uhd
2025-01-29T20:29:20.539114367Z,20.77,sinr,ue1_uhd
2025-01-29T20:29:21.019544367Z,20.76,sinr,ue1_uhd
2025-01-29T20:29:21.500015367Z,20.69,sinr,ue1_uhd
2025-01-29T20:29:21.980417367Z,20.73,sinr,ue1_uhd
2025-01-29T20:29:22.460894367Z,20.58,sinr,ue1_uhd
2025-01-29T20:29:22.941176367Z,20.61,sinr,ue1_uhd
2025-01-29T20:29:23.421697367Z,20.95,sinr,ue1_uhd
2025-01-29T20:29:23.902418367Z,20.98,sinr,ue1_uhd
2025-01-29T20:29:24.383088367Z,20.88,sinr,ue1_uhd
2025-01-29T20:29:24.862860367Z,20.69,sinr,ue1_uhd
2025-01-29T20:29:25.342531367Z,20.72,sinr,ue1_uhd
2025-01-29T20:29:25.822826367Z,20.87,sinr,ue1_uhd
2025-01-29T20:29:26.303036367Z,20.88,sinr,ue1_uhd
2025-01-29T20:29:26.783257367Z,20.74,sinr,ue1_uhd
2025-01-29T20:29:27.263412367Z,20.85,sinr,ue1_uhd
2025-01-29T20:29:27.743760367Z,20.95,sinr,ue1_uhd
2025-01-29T20:29:28.224526367Z,20.79,sinr,ue1_uhd
2025-01-29T20:29:28.705160367Z,20.81,sinr,ue1_uhd
2025-01-29T20:29:29.194088367Z,20.86,sinr,ue1_uhd
2025-01-29T20:29:29.674373367Z,21,sinr,ue1_uhd
2025-01-29T20:29:30.153938367Z,20.87,sinr,ue1_uhd
2025-01-29T20:29:30.634233367Z,20.87,sinr,ue1_uhd
2025-01-29T20:29:31.123435367Z,20.87,sinr,ue1_uhd
2025-01-29T20:29:31.603453367Z,20.86,sinr,ue1_uhd
2025-01-29T20:29:32.092521367Z,20.64,sinr,ue1_uhd
2025-01-29T20:29:32.572404367Z,20.52,sinr,ue1_uhd
